Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
BRM Taylor,Brendan Taylor,ODI,33.2,75.5,45.0,43.9,6.15
BRM Taylor,Brendan Taylor,T20,25.2,123.1,0,0,0
SC Getkate,Shane Getkate,ODI,23.0,100.0,20.0,27.0,4.44
SC Getkate,Shane Getkate,T20,0,0,0,0,0
SC Williams,Sean Williams,ODI,33.9,82.3,47.8,59.2,4.85
SC Williams,Sean Williams,T20,15.5,129.2,39.0,36.0,6.50
Sikandar Raza,Sikandar Raza,ODI,34.0,81.7,38.4,48.2,4.79
Sikandar Raza,Sikandar Raza,T20,25.0,129.6,38.0,28.2,8.09
PJ Moor,Peter Moor,ODI,21.2,67.6,0,0,0
PJ Moor,Peter Moor,T20,0,0,0,0,0
RP Burl,Ryan Burl,ODI,20.2,68.1,29.6,30.1,5.89
RP Burl,Ryan Burl,T20,0,0,0,0,0
DT Tiripano,Donald Tiripano,ODI,18.1,58.0,41.5,45.2,5.51
DT Tiripano,Donald Tiripano,T20,0,0,0,0,0
KM Jarvis,Kyle Jarvis,ODI,9.4,65.1,35.3,39.9,5.31
KM Jarvis,Kyle Jarvis,T20,0,112.5,25.2,18.0,8.42
TL Chatara,Tendai Chatara,ODI,6.8,49.1,30.5,36.1,5.08
TL Chatara,Tendai Chatara,T20,0,0,0,0,0
SF Mire,Solomon Mire,ODI,20.3,80.2,42.9,42.2,6.09
SF Mire,Solomon Mire,T20,0.7,40.0,4.0,6.0,4.00
R Mutumbami,Richmond Mutumbami,ODI,20.1,71.5,0,0,0
R Mutumbami,Richmond Mutumbami,T20,0,0,0,0,0
CB Mpofu,Chris Mpofu,ODI,2.4,21.2,40.1,44.0,5.48
CB Mpofu,Chris Mpofu,T20,0,0,0,0,0
BTJ Wheal,Brad Wheal,ODI,5.3,47.1,23.2,31.0,4.48
BTJ Wheal,Brad Wheal,T20,10.0,95.2,29.0,20.0,8.70
SM Sharif,Safyaan Sharif,ODI,13.4,68.4,26.6,32.6,4.89
SM Sharif,Safyaan Sharif,T20,20.0,125.0,112.0,72.0,9.33
AC Evans,Alasdair Evans,ODI,11.0,64.3,29.6,33.8,5.24
AC Evans,Alasdair Evans,T20,1.0,50.0,26.5,17.5,9.09
TB Sole,Thomas Barclay Sole,ODI,7.7,107.0,38.7,50.5,4.60
TB Sole,Thomas Barclay Sole,T20,29.0,103.6,0,0,7.62
MRJ Watt,Mark Watt,ODI,14.4,69.0,32.4,45.1,4.31
MRJ Watt,Mark Watt,T20,6.0,78.3,35.9,24.1,8.92
MA Leask,Michael Leask,ODI,20.5,105.1,54.3,61.6,5.29
MA Leask,Michael Leask,T20,8.7,115.6,23.0,18.0,7.67
MH Cross,Matthew Cross,ODI,24.0,74.9,0,0,0
MH Cross,Matthew Cross,T20,14.8,107.3,0,0,0
KJ Coetzer,Kyle Coetzer,ODI,43.6,86.3,207.0,185.0,6.71
KJ Coetzer,Kyle Coetzer,T20,23.7,107.7,93.0,60.0,9.30
CS MacLeod,Calum MacLeod,ODI,35.8,82.8,70.8,79.1,5.37
CS MacLeod,Calum MacLeod,T20,30.5,128.6,0,0,6.00
CD Wallace,Craig Wallace,ODI,20.5,91.9,0,0,0
CD Wallace,Craig Wallace,T20,0,0,0,0,0
HG Munsey,George Munsey,ODI,27.6,77.3,0,0,0
HG Munsey,George Munsey,T20,29.0,165.7,0,0,0
DL Chahar,Deepak Chahar,ODI,12.0,85.7,37.0,24.0,9.25
DL Chahar,Deepak Chahar,T20,11.8,161.4,26.5,20.8,7.63
PA Patel,Parthiv Patel,ODI,24.6,76.7,0,0,0
PA Patel,Parthiv Patel,T20,22.9,120.7,0,0,0
Harbhajan Singh,Harbhajan Singh,ODI,13.4,80.7,33.7,46.2,4.38
Harbhajan Singh,Harbhajan Singh,T20,16.0,137.9,26.4,22.5,7.05
AB de Villiers,AB de Villiers,ODI,54.5,101.3,28.9,27.4,6.31
AB de Villiers,AB de Villiers,T20,42.1,153.3,0,0,0
SK Raina,Suresh Raina,ODI,35.8,93.5,50.3,59.1,5.11
SK Raina,Suresh Raina,T20,34.0,139.0,34.5,28.6,7.24
S Dube,Shivam Dube,ODI,0,0,0,0,0
S Dube,Shivam Dube,T20,13.3,121.2,0,0,4.80
NA Saini,Navdeep Saini,ODI,0,0,0,0,0
NA Saini,Navdeep Saini,T20,2.0,50.0,36.1,26.2,8.27
UT Yadav,Umesh Yadav,ODI,8.1,60.4,33.7,33.6,6.01
UT Yadav,Umesh Yadav,T20,9.5,96.1,29.5,21.1,8.38
Mohammed Siraj,Mohammed Siraj,ODI,0,0,0,0,7.60
Mohammed Siraj,Mohammed Siraj,T20,9.7,80.6,29.2,19.1,9.20
DJ Bravo,Dwayne Bravo,ODI,26.5,82.7,29.4,32.5,5.42
DJ Bravo,Dwayne Bravo,T20,23.8,131.0,23.6,16.9,8.35
SR Watson,Shane Watson,ODI,40.6,90.7,31.7,38.2,4.98
SR Watson,Shane Watson,T20,30.5,137.4,28.2,21.1,8.02
AT Rayudu,Ambati Rayudu,ODI,47.1,79.0,41.3,40.3,6.15
AT Rayudu,Ambati Rayudu,T20,26.3,123.9,0,0,0
M Prasidh Krishna,Prasidh Krishna,ODI,0,0,0,0,0
M Prasidh Krishna,Prasidh Krishna,T20,1.0,14.3,45.5,29.3,9.32
PP Chawla,Piyush Chawla,ODI,6.3,74.6,35.0,41.0,5.12
PP Chawla,Piyush Chawla,T20,12.1,112.7,27.1,20.8,7.83
SP Narine,Sunil Narine,ODI,11.3,82.3,26.5,38.5,4.13
SP Narine,Sunil Narine,T20,16.2,153.0,21.3,20.8,6.15
N Rana,Nitish Rana,ODI,0,0,0,0,0
N Rana,Nitish Rana,T20,27.8,134.6,17.0,13.0,7.85
YK Pathan,Yusuf Pathan,ODI,27.2,114.3,41.5,45.2,5.50
YK Pathan,Yusuf Pathan,T20,28.8,141.4,33.0,27.0,7.33
MK Pandey,Manish Pandey,ODI,36.7,91.9,0,0,0
MK Pandey,Manish Pandey,T20,30.2,121.5,0,0,0
CA Lynn,Chris Lynn,ODI,18.8,84.3,0,0,0
CA Lynn,Chris Lynn,T20,35.7,145.9,29.0,24.0,7.25
RV Uthappa,Robin Uthappa,ODI,24.8,91.3,0,0,0.00
RV Uthappa,Robin Uthappa,T20,28.9,130.9,0,0,0
Sandeep Sharma,Sandeep Sharma,ODI,0,0,0,0,0
Sandeep Sharma,Sandeep Sharma,T20,10.7,76.2,23.9,18.4,7.81
S Kaul,Siddarth Kaul,ODI,0.5,33.3,0,0,6.63
S Kaul,Siddarth Kaul,T20,3.0,42.9,28.3,20.0,8.47
Shubman Gill,Shubman Gill,ODI,8.0,50.0,0,0,0
Shubman Gill,Shubman Gill,T20,35.6,132.4,0,0,0
PP Shaw,Prithvi Pankaj Shaw,ODI,0,0,0,0,0
PP Shaw,Prithvi Pankaj Shaw,T20,24.9,141.0,0,0,0
Rasikh Salam,Rasikh Salam,ODI,0,0,0,0,0
Rasikh Salam,Rasikh Salam,T20,0,125.0,0,0,10.50
MJ McClenaghan,Mitchell McClenaghan,ODI,27.0,78.3,28.2,28.5,5.93
MJ McClenaghan,Mitchell McClenaghan,T20,7.1,114.1,26.9,18.6,8.67
SS Iyer,Shreyas Iyer,ODI,49.4,105.8,0,0,2.00
SS Iyer,Shreyas Iyer,T20,30.0,127.0,0,0,0
CA Ingram,Colin Ingram,ODI,31.2,82.3,0,0,17.00
CA Ingram,Colin Ingram,T20,32.3,146.4,32.7,24.9,7.86
KH Pandya,Krunal Pandya,ODI,0,0,0,0,0
KH Pandya,Krunal Pandya,T20,26.9,145.6,27.5,23.0,7.16
BCJ Cutting,Ben Cutting,ODI,26.5,79.1,31.6,43.2,4.39
BCJ Cutting,Ben Cutting,T20,22.5,153.2,31.4,21.3,8.85
KMA Paul,Keemo Mandela Angus Paul,ODI,16.4,75.7,48.8,48.8,6.00
KMA Paul,Keemo Mandela Angus Paul,T20,11.1,117.1,28.7,19.1,9.01
AR Patel,Akshar Patel,ODI,12.9,95.3,31.3,42.4,4.43
AR Patel,Akshar Patel,T20,19.3,129.4,28.2,22.9,7.37
R Tewatia,Rahul Tewatia,ODI,0,0,0,0,0
R Tewatia,Rahul Tewatia,T20,18.5,124.7,25.3,21.1,7.18
I Sharma,Ishant Sharma,ODI,4.8,35.5,31.2,32.5,5.76
I Sharma,Ishant Sharma,T20,9.2,90.2,35.7,26.3,8.16
SA Yadav,Suryakumar Yadav,ODI,0,0,0,0,0
SA Yadav,Suryakumar Yadav,T20,29.2,133.0,0,0,7.20
KA Pollard,Kieron Pollard,ODI,25.5,93.1,39.1,40.9,5.74
KA Pollard,Kieron Pollard,T20,29.9,149.4,29.0,20.7,8.41
Yuvraj Singh,Yuvraj Singh,ODI,38.9,88.3,38.8,44.5,5.23
Yuvraj Singh,Yuvraj Singh,T20,25.3,130.5,29.2,23.4,7.48
DS Kulkarni,Dhawal Kulkarni,ODI,0,96.4,26.7,31.5,5.10
DS Kulkarni,Dhawal Kulkarni,T20,11.2,95.3,28.5,20.5,8.32
MA Agarwal,Mayank Agarwal,ODI,0,0,0,0,0
MA Agarwal,Mayank Agarwal,T20,17.5,128.7,0,0,0
K Gowtham,Krishnappa Gowtham,ODI,0,0,0,0,0
K Gowtham,Krishnappa Gowtham,T20,12.0,173.5,39.3,29.8,7.93
JD Unadkat,Jaydev Unadkat,ODI,0,0,26.1,39.0,4.02
JD Unadkat,Jaydev Unadkat,T20,9.2,101.9,27.9,19.1,8.76
SN Khan,Sarfaraz Khan,ODI,0,0,0,0,0
SN Khan,Sarfaraz Khan,T20,27.2,142.7,0,0,18.00
S Gopal,Shreyas Gopal,ODI,0,0,0,0,0
S Gopal,Shreyas Gopal,T20,15.1,116.2,20.1,15.8,7.64
Mandeep Singh,Mandeep Singh,ODI,0,0,0,0,0
Mandeep Singh,Mandeep Singh,T20,22.2,124.7,0,0,13.00
AM Rahane,Ajinkya Rahane,ODI,34.8,78.6,0,0,0
AM Rahane,Ajinkya Rahane,T20,34.0,121.8,5.0,6.0,5.00
SM Curran,Sam Curran,ODI,8.5,58.6,45.0,36.0,7.50
SM Curran,Sam Curran,T20,18.1,123.8,30.5,21.3,8.57
R Ashwin,Ravichandran Ashwin,ODI,17.3,87.0,32.9,40.2,4.92
R Ashwin,Ravichandran Ashwin,T20,12.1,118.2,25.6,22.3,6.89
AS Rajpoot,Ankit Rajpoot,ODI,0,0,0,0,0
AS Rajpoot,Ankit Rajpoot,T20,5.7,54.8,27.9,19.4,8.65
SV Samson,Sanju Samson,ODI,0,0,0,0,0
SV Samson,Sanju Samson,T20,28.6,130.0,0,0,0
RA Tripathi,Rahul Tripathi,ODI,0,0,0,0,0
RA Tripathi,Rahul Tripathi,T20,26.1,137.3,0,0,12.00
SN Thakur,Shardul Thakur,ODI,22.0,137.5,36.3,35.7,6.11
SN Thakur,Shardul Thakur,T20,7.2,171.4,29.6,19.6,9.04
A Mishra,Amit Mishra,ODI,5.4,52.4,23.7,30.0,4.74
A Mishra,Amit Mishra,T20,12.6,91.5,24.6,20.1,7.35
CV Varun,Varun Chakravarthy,ODI,0,0,0,0,0
CV Varun,Varun Chakravarthy,T20,0,0,35.0,18.0,11.67
GC Viljoen,Hardus Viljoen,ODI,0,0,0,0,0
GC Viljoen,Hardus Viljoen,T20,13.5,123.7,27.4,19.3,8.54
AJ Tye,Andrew Tye,ODI,14.2,118.8,32.7,32.2,6.08
AJ Tye,Andrew Tye,T20,12.7,122.6,21.3,16.4,7.81
M Markande,Mayank Markande,ODI,0,0,0,0,0
M Markande,Mayank Markande,T20,9.0,93.1,26.7,18.8,8.54
S Nadeem,Shahbaz Nadeem,ODI,0,0,0,0,0
S Nadeem,Shahbaz Nadeem,T20,2.7,41.0,37.4,30.0,7.48
M Ashwin,Murugan Ashwin,ODI,0,0,0,0,0
M Ashwin,Murugan Ashwin,T20,1.3,50.0,36.6,27.8,7.90
NS Naik,Nikhil Naik,ODI,0,0,0,0,0
NS Naik,Nikhil Naik,T20,10.0,63.8,0,0,0
S Lamichhane,Sandeep Lamichhane,ODI,9.8,57.4,14.8,21.3,4.18
S Lamichhane,Sandeep Lamichhane,T20,10.5,91.3,20.2,16.7,7.23
HV Patel,Harshal Patel,ODI,0,0,0,0,0
HV Patel,Harshal Patel,T20,9.8,154.3,28.3,19.4,8.72
GH Vihari,Hanuma Vihari,ODI,0,0,0,0,0
GH Vihari,Hanuma Vihari,T20,14.0,87.8,55.0,48.0,6.88
P Ray Barman,Prayas Ray Barman,ODI,0,0,0,0,0
P Ray Barman,Prayas Ray Barman,T20,19.0,79.2,0,0,14.00
Avesh Khan,Avesh Khan,ODI,0,0,0,0,0
Avesh Khan,Avesh Khan,T20,0,133.3,51.4,31.2,9.88
VR Aaron,Varun Aaron,ODI,8.0,53.3,38.1,34.5,6.62
VR Aaron,Varun Aaron,T20,16.3,80.3,31.8,21.8,8.74
STR Binny,Stuart Binny,ODI,28.8,93.5,22.0,24.5,5.38
STR Binny,Stuart Binny,T20,19.6,131.0,35.4,27.7,7.68
MM Sharma,Mohit Sharma,ODI,7.8,47.0,32.9,36.2,5.46
MM Sharma,Mohit Sharma,T20,8.7,103.4,26.4,18.8,8.45
RD Chahar,Rahul Chahar,ODI,0,0,0,0,0
RD Chahar,Rahul Chahar,T20,7.5,115.4,24.4,21.6,6.78
DJ Hooda,Deepak Hooda,ODI,0,0,0,0,0
DJ Hooda,Deepak Hooda,T20,14.6,127.2,44.7,31.9,8.42
P Negi,Pawan Negi,ODI,0,0,0,0,0
P Negi,Pawan Negi,T20,13.1,123.9,24.7,19.5,7.61
SC Kuggeleijn,Scott Kuggeleijn,ODI,0,183.3,11.6,16.8,4.14
SC Kuggeleijn,Scott Kuggeleijn,T20,7.6,102.7,37.5,27.0,8.33
Ishan Kishan,Ishan Kishan,ODI,0,0,0,0,0
Ishan Kishan,Ishan Kishan,T20,21.1,130.9,0,0,0
AS Joseph,Alzarri Joseph,ODI,34.7,86.0,34.1,31.5,6.48
AS Joseph,Alzarri Joseph,T20,17.8,112.7,26.4,16.8,9.44
AD Nath,Akshdeep Nath,ODI,0,0,0,0,0
AD Nath,Akshdeep Nath,T20,9.0,91.8,0,0,0
HF Gurney,Harry Gurney,ODI,7.5,45.5,39.3,41.4,5.70
HF Gurney,Harry Gurney,T20,3.7,75.9,22.2,16.8,7.93
S Midhun,Sudhesan Midhun,ODI,0,0,0,0,0
S Midhun,Sudhesan Midhun,T20,0,0,0,0,13.50
KK Nair,Karun Nair,ODI,23.0,52.3,0,0,0
KK Nair,Karun Nair,T20,24.8,128.5,0,0,0
SD Lad,Siddhesh Lad,ODI,0,0,0,0,0
SD Lad,Siddhesh Lad,T20,15.0,115.4,0,0,0
R Parag,Riyan Parag,ODI,0,0,0,0,0
R Parag,Riyan Parag,T20,32.0,127.0,60.5,42.0,8.64
LS Livingstone,Liam Stephen Livingstone,ODI,0,0,0,0,0
LS Livingstone,Liam Stephen Livingstone,T20,27.5,141.9,16.6,12.6,7.88
KK Ahmed,Khaleel Ahmed,ODI,4.5,52.9,31.0,32.0,5.81
KK Ahmed,Khaleel Ahmed,T20,0.0,0.0,16.2,11.4,8.59
Abhishek Sharma,Abhishek Sharma,ODI,0,0,0,0,0
Abhishek Sharma,Abhishek Sharma,T20,24.0,171.4,21.0,12.0,10.50
RK Bhui,Ricky Kannakumar Bhui,ODI,0,0,0,0,0
RK Bhui,Ricky Kannakumar Bhui,T20,3.5,41.2,0,0,0
Arshdeep Singh,Arshdeep Singh,ODI,0,0,0,0,0
Arshdeep Singh,Arshdeep Singh,T20,0,0,36.3,20.0,10.90
AJ Turner,Ashton Turner,ODI,62.5,145.3,0,0,0
AJ Turner,Ashton Turner,T20,21.5,137.2,18.0,15.0,7.20
SW Billings,Sam Billings,ODI,22.6,90.9,0,0,0
SW Billings,Sam Billings,T20,24.8,133.6,0,0,0
KV Sharma,Karan Sharma,ODI,0,0,0,0,6.58
KV Sharma,Karan Sharma,T20,16.0,119.7,27.2,20.8,7.82
J Yadav,Jayant Yadav,ODI,0,100.0,8.0,24.0,2.00
J Yadav,Jayant Yadav,T20,3.0,60.0,49.2,44.4,6.65
DW Steyn,Dale Steyn,ODI,9.4,65.3,26.0,31.9,4.89
DW Steyn,Dale Steyn,T20,10.0,114.2,22.7,20.2,6.74
SE Rutherford,Sherfane Rutherford,ODI,0,0,0,0,0
SE Rutherford,Sherfane Rutherford,T20,28.2,151.4,30.6,23.1,7.95
Harpreet Brar,Harpreet Brar,ODI,0,0,0,0,0
Harpreet Brar,Harpreet Brar,T20,0,166.7,0,0,9.60
RK Singh,Rinku Singh,ODI,0,0,0,0,0
RK Singh,Rinku Singh,T20,11.0,101.5,0,0,0
Y Prithvi Raj,Prithvi Raj,ODI,0,0,0,0,0
Y Prithvi Raj,Prithvi Raj,T20,0,0.0,57.0,30.0,11.40
KC Cariappa,KC Cariappa,ODI,0,0,0,0,0
KC Cariappa,KC Cariappa,T20,8.0,114.3,43.5,27.0,9.67
Washington Sundar,Washington Sundar,ODI,0,0,65.0,60.0,6.50
Washington Sundar,Washington Sundar,T20,15.0,141.5,28.2,22.1,7.64
M Vijay,Murali Vijay,ODI,24.2,67.0,37.0,36.0,6.17
M Vijay,Murali Vijay,T20,26.6,122.2,0,0,8.17
DR Shorey,Dhruv Shorey,ODI,0,0,0,0,0
DR Shorey,Dhruv Shorey,T20,6.5,76.5,0,0,0
AS Roy,Anukul Roy,ODI,0,0,0,0,0
AS Roy,Anukul Roy,T20,0,0,11.0,12.0,5.50
WP Saha,Wriddhiman Saha,ODI,13.7,73.2,0,0,0
WP Saha,Wriddhiman Saha,T20,23.0,129.5,0,0,0
H Klaasen,Heinrich Klaasen,ODI,22.8,86.3,0,0,0
H Klaasen,Heinrich Klaasen,T20,28.7,145.7,54.0,36.0,9.00
Gurkeerat Singh,Gurkeerat Singh,ODI,6.5,100.0,0,0,6.80
Gurkeerat Singh,Gurkeerat Singh,T20,18.3,128.7,19.4,15.6,7.46
BB Sran,Barinder Sran,ODI,0,0,38.4,43.1,5.34
BB Sran,Barinder Sran,T20,10.0,71.4,38.0,24.5,9.32
S Sandeep Warrier,Sandeep Warrier,ODI,0,0,0,0,0
S Sandeep Warrier,Sandeep Warrier,T20,0,0,42.5,36.0,7.08
P Simran Singh,Simran Singh,ODI,0,0,0,0,0
P Simran Singh,Simran Singh,T20,16.0,94.1,0,0,0
K Khejroliya,Kulwant Khejroliya,ODI,0,0,0,0,0
K Khejroliya,Kulwant Khejroliya,T20,0,0,51.3,31.7,9.73
J Suchith,Jagadeesha Suchith,ODI,0,0,0,0,0
J Suchith,Jagadeesha Suchith,T20,27.0,114.9,33.0,22.5,8.80
Basil Thampi,Basil Thampi,ODI,0,0,0,0,0
Basil Thampi,Basil Thampi,T20,32.0,91.4,40.5,25.1,9.70
MK Lomror,Mahipal Krishan Lomror,ODI,0,0,0,0,0
MK Lomror,Mahipal Krishan Lomror,T20,14.0,116.7,0,0,9.00
FJ Klaassen,Fred Klaassen,ODI,15.0,57.7,14.6,24.0,3.65
FJ Klaassen,Fred Klaassen,T20,8.0,133.3,38.4,24.7,9.33
VJ Kingma,Vivian Kingma,ODI,0,0,53.5,63.0,5.10
VJ Kingma,Vivian Kingma,T20,0,0,0,0,0
RE van der Merwe,Roelof van der Merwe,ODI,16.0,101.1,36.6,43.8,5.00
RE van der Merwe,Roelof van der Merwe,T20,20.1,136.1,29.1,23.3,7.50
PA van Meekeren,Paul van Meekeren,ODI,0,75.0,52.3,69.3,4.53
PA van Meekeren,Paul van Meekeren,T20,1.2,55.6,53.4,32.0,10.02
PM Seelaar,Pieter Seelaar,ODI,12.7,66.1,31.4,40.7,4.63
PM Seelaar,Pieter Seelaar,T20,0,0,0,0,0
TP Visee,Tobias Visee,ODI,34.5,123.2,0,0,0
TP Visee,Tobias Visee,T20,25.5,171.9,0,0,0
MP O'Dowd,Max O'Dowd,ODI,145.0,72.5,0,0,0
MP O'Dowd,Max O'Dowd,T20,0,0,0,0,0
A Ndlovu,A Ndlovu,ODI,0,0,0,0,0
A Ndlovu,A Ndlovu,T20,0,0,0,0,0
BN Cooper,Ben Cooper,ODI,28.5,92.9,0,0,0
BN Cooper,Ben Cooper,T20,0,0,0,0,0
BFW de Leede,Bas de Leede,ODI,10.7,42.7,15.0,23.0,3.91
BFW de Leede,Bas de Leede,T20,0,0,0,0,0
W Barresi,Wesley Barresi,ODI,36.0,76.6,0,0,7.40
W Barresi,Wesley Barresi,T20,0,0,0,0,0
BD Glover,Brandon Glover,ODI,0,0,37.0,60.0,3.70
BD Glover,Brandon Glover,T20,0,0,0,0,0
Saqib Zulfiqar,Saqib Zulfiqar,ODI,0.0,0.0,49.0,42.0,7.00
Saqib Zulfiqar,Saqib Zulfiqar,T20,0,0,0,0,0
SA Edwards,Scott Edwards,ODI,53.0,91.4,0,0,0
SA Edwards,Scott Edwards,T20,0,0,0,0,0
RL Chase,Roston Chase,ODI,20.9,71.9,63.4,73.0,5.21
RL Chase,Roston Chase,T20,0,144.4,0,0,10.00
Shafiul Islam,Shafiul Islam,ODI,5.9,54.9,35.3,35.8,5.92
Shafiul Islam,Shafiul Islam,T20,11.2,91.8,23.2,17.0,8.19
CBRLS Kumara,Lahiru Kumara,ODI,5.7,37.8,47.9,41.8,6.87
CBRLS Kumara,Lahiru Kumara,T20,0,0,0,0,0
A Dananjaya,Akila Dananjaya,ODI,13.5,68.9,29.5,34.8,5.10
A Dananjaya,Akila Dananjaya,T20,11.0,68.8,94.0,66.0,8.55
Taijul Islam,Taijul Islam,ODI,21.0,78.8,36.7,57.0,3.86
Taijul Islam,Taijul Islam,T20,11.9,86.1,25.1,21.0,7.16
MD Shanaka,Dasun Shanaka,ODI,29.2,115.8,27.4,28.2,5.83
MD Shanaka,Dasun Shanaka,T20,14.5,138.1,47.5,26.0,10.96
GSNFG Jayasuriya,Gampalage Shehan Naveendra De Fonseka Gunawarna Ja,ODI,23.0,71.9,125.5,141.0,5.34
GSNFG Jayasuriya,Gampalage Shehan Naveendra De Fonseka Gunawarna Ja,T20,3.0,66.7,0,0,7.00
PWH de Silva,Pinnaduwage Wanindu Hasaranga De Silva,ODI,14.4,103.6,33.0,31.0,6.39
PWH de Silva,Pinnaduwage Wanindu Hasaranga De Silva,T20,8.0,80.0,0,0,24.00
Anamul Haque,Anamul Haque,ODI,30.1,70.7,0,0,0
Anamul Haque,Anamul Haque,T20,21.8,114.0,0,0,0
TP Ura,Tony Pala Ura,ODI,28.4,80.0,0,0,12.00
TP Ura,Tony Pala Ura,T20,0,0,0,0,0
Bilal Khan,Bilal Khan,ODI,0,25.0,27.5,40.5,4.07
Bilal Khan,Bilal Khan,T20,0,0,0,0,0
G Toka,Gaudi Toka,ODI,17.2,54.2,0,0,0
G Toka,Gaudi Toka,T20,0,0,0,0,0
Kaleemullah,Kaleemullah,ODI,0,0,0,0,5.11
Kaleemullah,Kaleemullah,T20,0,0,0,0,0
Fayyaz Butt,Fayyaz Butt,ODI,32.0,97.0,137.0,162.0,5.07
Fayyaz Butt,Fayyaz Butt,T20,0,0,0,0,0
Jay Odedra,Jay Odedra,ODI,0,0,16.4,24.0,4.10
Jay Odedra,Jay Odedra,T20,0,0,0,0,0
Zeeshan Maqsood,Zeeshan Maqsood,ODI,8.7,50.0,19.2,36.0,3.19
Zeeshan Maqsood,Zeeshan Maqsood,T20,0,0,0,0,0
A Vala,Archie Vala,ODI,27.7,67.9,24.5,39.4,3.73
A Vala,Archie Vala,T20,0,0,0,0,0
Khawar Ali,Khawar Ali,ODI,41.7,50.2,14.7,21.9,4.02
Khawar Ali,Khawar Ali,T20,0,0,0,0,0
L Siaka,Lega Siaka,ODI,17.4,72.3,48.7,68.0,4.29
L Siaka,Lega Siaka,T20,0,0,0,0,0
CJA Amini,Charles Jordan Alewa Amini,ODI,22.3,73.8,39.9,51.5,4.65
CJA Amini,Charles Jordan Alewa Amini,T20,0,0,0,0,0
S Bau,Sese Bau,ODI,17.6,62.3,62.0,90.0,4.13
S Bau,Sese Bau,T20,0,0,0,0,0
K Doriga,Kiplin Doriga,ODI,22.3,63.3,0,0,0
K Doriga,Kiplin Doriga,T20,0,0,0,0,0
CA Soper,Chad Aiwati Soper,ODI,18.4,57.2,28.0,34.1,4.94
CA Soper,Chad Aiwati Soper,T20,0,0,0,0,0
N Vanua,Norman Vanua,ODI,12.9,76.7,28.5,33.1,5.17
N Vanua,Norman Vanua,T20,0,0,0,0,0
Aqib Ilyas,Aqib Ilyas Sulehri,ODI,52.5,78.7,12.0,19.5,3.69
Aqib Ilyas,Aqib Ilyas Sulehri,T20,0,0,0,0,0
D Ravu,Damien Ravu,ODI,12.5,64.1,0,0,5.74
D Ravu,Damien Ravu,T20,0,0,0,0,0
N Pokana,Nosaina Pokana,ODI,10.4,49.1,27.2,32.9,4.96
N Pokana,Nosaina Pokana,T20,0,0,0,0,0
Jatinder Singh,Jatinder Singh,ODI,17.0,50.4,0,0,0
Jatinder Singh,Jatinder Singh,T20,0,0,0,0,0
Mohammad Nadeem,Mohammad Nadeem,ODI,35.0,48.6,0,0,7.67
Mohammad Nadeem,Mohammad Nadeem,T20,0,0,0,0,0
Suraj Kumar,Suraj Kumar,ODI,20.0,72.3,0,0,0
Suraj Kumar,Suraj Kumar,T20,0,0,0,0,0
Sandeep Goud,Sandeep Goud,ODI,49.5,90.0,0,0,0
Sandeep Goud,Sandeep Goud,T20,0,0,0,0,0
Aamir Kaleem,Syed Aamir Kaleem,ODI,13.0,81.2,27.0,38.0,4.26
Aamir Kaleem,Syed Aamir Kaleem,T20,0,0,0,0,0
RD Berrington,Richie Berrington,ODI,28.6,73.3,37.1,41.8,5.33
RD Berrington,Richie Berrington,T20,8.2,113.8,0,0,0
A Neill,Adrian Neill,ODI,0,0.0,24.0,55.0,2.62
A Neill,Adrian Neill,T20,0,0,0,0,0
GT Main,Gavin Main,ODI,0,0,0,0,6.00
GT Main,Gavin Main,T20,0,0,0,0,0
Hamza Tahir,Hamza Tahir,ODI,0,0,10.2,17.6,3.48
Hamza Tahir,Hamza Tahir,T20,0,0,0,0,0
AV Lalcheta,Ajay Vrajlal Lalcheta,ODI,9.0,38.3,31.0,42.0,4.43
AV Lalcheta,Ajay Vrajlal Lalcheta,T20,0,0,0,0,0
Khurram Nawaz,Khurram Nawaz Khan,ODI,9.0,60.0,0,0,0
Khurram Nawaz,Khurram Nawaz Khan,T20,0,0,0,0,0
H Hiri,Hiri Hiri,ODI,20.8,61.5,28.0,30.0,5.60
H Hiri,Hiri Hiri,T20,0,0,0,0,0
MD Gunathilaka,Danushka Gunathilaka,ODI,34.7,85.8,49.3,51.0,5.80
MD Gunathilaka,Danushka Gunathilaka,T20,23.3,136.4,0,0,12.20
Iftikhar Ahmed,Iftikhar Ahmed,ODI,34.0,93.2,101.0,138.0,4.39
Iftikhar Ahmed,Iftikhar Ahmed,T20,14.8,102.3,7.2,8.0,5.44
S Samarawickrama,Sadeera Samarawickrama,ODI,19.7,83.6,0,0,0
S Samarawickrama,Sadeera Samarawickrama,T20,0,0,0,0,0
Usman Shinwari,Usman Shinwari,ODI,3.0,100.0,22.4,25.9,5.19
Usman Shinwari,Usman Shinwari,T20,7.0,53.8,22.6,16.9,8.03
BOP Fernando,Oshada Fernando,ODI,21.3,63.1,0,0,8.00
BOP Fernando,Oshada Fernando,T20,0,0,0,0,0
Mohammad Nawaz (3),Mohammad Nawaz (3),ODI,0,0,0,0,0
Mohammad Nawaz (3),Mohammad Nawaz (3),T20,0,0,0,0,0
AK Perera,Angelo Perera,ODI,13.0,62.7,0,0,5.50
